,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,havre-saint-pierre,50.2334,-63.5986,41.0,87,90,24.16,CA,1619450469
84,bredasdorp,-34.5322,20.0403,66.2,68,0,6.91,ZA,1619450469
85,ajdabiya,30.7554,20.2263,71.74,41,6,10.65,LY,1619450390
86,vestmanna,62.1564,-7.1664,48.2,81,75,11.5,FO,1619450470
87,prieska,-29.6641,22.7474,81.63,16,99,14.97,ZA,1619450470
88,tuktoyaktuk,69.4541,-133.0374,3.2,78,20,10.36,CA,1619450471
89,kozluk,38.1938,41.4885,86.0,21,75,18.41,TR,1619450471
90,maxixe,-23.8597,35.3472,75.76,74,0,8.16,MZ,1619450471
91,kalmunai,7.4167,81.8167,82.36,75,95,11.41,LK,1619450472
92,moyale,3.5167,39.0584,73.78,69,93,4.38,KE,1619450472
93,palora,-1.7,-77.9333,69.8,88,90,2.3,EC,1619450473
94,gazanjyk,39.2446,55.5154,90.72,18,1,4.41,TM,1619450473
95,salalah,17.0151,54.0924,84.2,70,40,8.05,OM,1619450473
96,sao miguel do araguaia,-13.275,-50.1628,84.52,63,33,3.78,BR,1619450474
97,seoul,37.5683,126.9778,59.0,76,0,1.14,KR,1619450474
98,port macquarie,-31.4333,152.9167,54.0,99,7,1.01,AU,1619450474
99,yuancheng,36.652,107.7896,48.9,33,96,7.43,CN,1619450475
100,mangit,40.5971,70.9607,71.6,35,0,4.61,UZ,1619450475
101,huejuquilla el alto,22.6,-103.8667,68.92,30,97,2.44,MX,1619450476
102,eydhafushi,5.1033,73.0708,84.49,69,10,3.8,MV,1619450476
103,flinders,-34.5833,150.8552,54.0,84,10,1.01,AU,1619450476
104,georgetown,5.4112,100.3354,86.0,84,40,3.44,MY,1619450292
105,berlevag,70.8578,29.0864,35.6,64,40,14.97,NO,1619450477
106,oskarshamn,57.2645,16.4484,45.0,47,100,5.99,SE,1619450477
107,lebu,-37.6167,-73.65,58.55,67,0,10.56,CL,1619450478
108,pisco,-13.7,-76.2167,68.0,83,0,6.91,PE,1619450478
109,sao filipe,14.8961,-24.4956,71.82,76,24,9.46,CV,1619450478
110,bumbuna,9.05,-11.7333,96.66,33,92,5.73,SL,1619450479
111,uberlandia,-18.9186,-48.2772,80.6,36,20,4.61,BR,1619450479
112,dodola,6.9833,39.1833,54.46,93,100,3.58,ET,1619450479
113,vila franca do campo,37.7167,-25.4333,62.6,77,75,10.36,PT,1619450480
114,labuhan,-6.8844,112.2051,79.79,81,20,6.67,ID,1619450480
115,buy,58.4786,41.53,40.64,80,100,11.99,RU,1619450480
116,castro,-24.7911,-50.0119,70.66,59,21,1.54,BR,1619450481
117,kawalu,-7.3817,108.2082,72.41,96,22,0.89,ID,1619450481
118,kaitangata,-46.2817,169.8464,43.0,81,92,8.99,NZ,1619450481
119,thompson,55.7435,-97.8558,30.2,100,90,3.44,CA,1619450482
120,kodinsk,58.6881,99.1844,25.09,94,41,2.86,RU,1619450482
121,touros,-5.1989,-35.4608,86.0,66,40,14.97,BR,1619450482
122,narsaq,60.9167,-46.05,41.0,81,75,12.66,GL,1619450192
123,shinjo,38.7586,140.3008,34.92,78,6,3.31,JP,1619450483
124,tiksi,71.6872,128.8694,18.09,95,100,11.1,RU,1619450484
125,nagornskiy,58.7731,57.5451,36.0,100,100,1.99,RU,1619450484
126,nanortalik,60.1432,-45.2371,33.76,99,100,7.56,GL,1619450484
127,bambous virieux,-20.3428,57.7575,77.0,83,75,13.8,MU,1619450485
128,codrington,-38.2667,141.9667,56.77,73,97,4.9,AU,1619450485
129,cherskiy,68.75,161.3,4.87,96,55,6.31,RU,1619450485
130,buala,-8.145,159.5921,80.38,83,45,5.23,SB,1619450486
131,sinnamary,5.3833,-52.95,79.43,87,100,9.89,GF,1619450486
132,bardiyah,31.7561,25.0865,66.69,55,0,18.1,LY,1619450487
133,anadyr,64.75,177.4833,19.4,93,100,6.71,RU,1619450487
134,padang,-0.9492,100.3543,78.8,89,40,2.3,ID,1619450487
135,micheweni,-4.9667,39.8333,81.37,80,100,11.16,TZ,1619450488
136,caiaponia,-16.9567,-51.8103,84.67,34,38,1.36,BR,1619450488
137,clyde river,70.4692,-68.5914,24.8,100,90,2.3,CA,1619450488
138,norman wells,65.282,-126.8329,10.4,79,75,6.91,CA,1619450489
139,valparaiso,-33.0393,-71.6273,53.6,100,20,3.44,CL,1619450489
140,koygorodok,60.445,50.9968,40.14,74,92,5.79,RU,1619450490
141,san pedro,14.35,121.0167,81.0,74,20,8.05,PH,1619450490
142,tual,-5.6667,132.75,83.23,59,70,8.39,ID,1619450490
143,beyneu,45.3167,55.2,87.39,13,20,10.92,KZ,1619450491
144,concepcion del uruguay,-32.4825,-58.2372,68.0,66,0,1.99,AR,1619450195
145,khatanga,71.9667,102.5,15.57,94,100,10.2,RU,1619450491
146,jibuti,11.5,42.5,80.6,69,75,6.91,DJ,1619450492
147,nantucket,41.2835,-70.0995,51.8,46,1,16.11,US,1619450461
148,kerteminde,55.449,10.6577,48.2,34,0,6.91,DK,1619450492
149,acarau,-2.8856,-40.12,86.0,63,32,9.98,BR,1619450492
150,hofn,64.2539,-15.2082,44.6,53,40,17.27,IS,1619450493
151,rincon,32.296,-81.2354,73.0,64,20,8.05,US,1619450493
152,tasiilaq,65.6145,-37.6368,39.2,75,90,10.11,GL,1619450494
153,palmer,42.1584,-72.3287,48.99,34,20,13.8,US,1619450494
154,half moon bay,37.4636,-122.4286,52.0,93,75,4.14,US,1619450494
155,port elizabeth,-33.918,25.5701,59.0,94,75,14.97,ZA,1619450352
156,cabo san lucas,22.8909,-109.9124,73.4,28,40,11.5,MX,1619450495
157,iqaluit,63.7506,-68.5145,33.8,93,90,5.75,CA,1619450495
158,stephenville,32.2207,-98.2023,69.8,68,1,16.11,US,1619450496
159,wentzville,38.8114,-90.8529,69.01,60,3,5.99,US,1619450496
160,marzuq,14.4,46.4667,74.5,61,80,15.66,YE,1619450496
161,hamilton,39.1834,-84.5333,62.01,44,1,6.91,US,1619450439
162,nemuro,43.3236,145.575,32.97,71,6,14.18,JP,1619450497
163,poltavka,54.3663,71.7632,52.77,51,64,12.71,RU,1619450497
164,tres lagoas,-20.7511,-51.6783,80.01,47,95,5.73,BR,1619450497
165,severo-kurilsk,50.6789,156.125,29.84,94,100,19.73,RU,1619450498
166,saldanha,-33.0117,17.9442,64.4,77,12,17.27,ZA,1619450498
167,kibondo,-3.5864,30.7203,65.16,90,100,2.08,TZ,1619450498
168,chicama,-7.8447,-79.1469,62.6,94,90,10.36,PE,1619450499
169,faanui,-16.4833,-151.75,79.92,70,2,3.33,PF,1619450499
170,cap malheureux,-19.9842,57.6142,75.0,90,100,8.99,MU,1619450499
171,solvychegodsk,61.3305,46.9156,39.25,87,100,2.84,RU,1619450500
172,esil,51.9556,66.4042,48.9,88,100,5.26,KZ,1619450500
173,general roca,-39.0333,-67.5833,59.0,72,0,3.44,AR,1619450500
174,ketchikan,55.3422,-131.6461,42.8,75,1,6.91,US,1619450501
175,kortkeros,61.8106,51.5806,44.6,57,20,2.24,RU,1619450501
176,saint george,37.1041,-113.5841,61.0,31,90,19.57,US,1619450442
177,dunedin,-45.8742,170.5036,44.01,69,99,15.99,NZ,1619450502
178,raga,8.4596,25.678,94.69,28,69,5.7,SS,1619450502
179,sergeyevka,53.88,67.4158,51.84,56,100,13.76,KZ,1619450502
180,tynset,62.2759,10.7824,33.8,55,0,10.36,NO,1619450503
181,mimarsinan,41.0032,28.5377,57.2,58,0,8.05,TR,1619450503
182,ilulissat,69.2167,-51.1,51.8,37,75,17.27,GL,1619450504
183,kismayo,-0.3582,42.5454,83.75,71,31,11.3,SO,1619450504
184,moose factory,51.2585,-80.6094,41.0,36,1,8.05,CA,1619450504
185,teknaf,20.8624,92.3058,79.72,87,0,3.27,BD,1619450505
186,laguna,38.421,-121.4238,51.01,87,1,4.61,US,1619450505
187,esperance,-33.8667,121.9,59.0,77,100,5.46,AU,1619450505
188,paita,-5.0892,-81.1144,73.4,73,40,12.66,PE,1619450506
189,dayong,25.0209,118.2898,73.4,64,0,6.71,CN,1619450506
190,sakaiminato,35.55,133.2333,50.0,62,75,14.97,JP,1619450506
191,lithakia,37.7167,20.8333,66.2,77,20,6.91,GR,1619450507
192,torbay,47.6666,-52.7314,48.99,53,90,19.57,CA,1619450507
193,cairns,-16.9167,145.7667,73.4,94,90,12.66,AU,1619450507
194,elat,29.5581,34.9482,87.8,22,0,20.71,IL,1619450443
195,solnechnyy,50.7214,136.6319,39.76,56,68,4.36,RU,1619450508
196,carauari,-4.8828,-66.8958,81.23,84,95,4.03,BR,1619450508
197,fort-shevchenko,44.5086,50.263,58.3,72,88,3.98,KZ,1619450509
198,pochutla,15.7432,-96.4661,88.0,65,75,9.22,MX,1619450509
199,mount gambier,-37.8333,140.7667,53.6,94,90,5.75,AU,1619450510
200,torrington,41.8007,-73.1212,46.99,57,22,5.01,US,1619450510
201,new norfolk,-42.7826,147.0587,51.8,71,25,4.61,AU,1619450510
202,lazaro cardenas,17.9583,-102.2,82.17,46,100,1.61,MX,1619450331
203,san patricio,28.017,-97.5169,80.6,69,40,19.57,US,1619450504
204,avera,33.194,-82.5271,70.0,46,1,12.66,US,1619450511
205,iskateley,67.6803,53.1512,37.85,97,100,4.0,RU,1619450511
206,adrar,20.5022,-10.0711,98.26,12,5,1.77,MR,1619450512
207,airai,-8.9266,125.4092,55.83,76,11,1.95,TL,1619450512
208,lavrentiya,65.5833,-171.0,19.0,80,61,6.33,RU,1619450512
209,caravelas,-17.7125,-39.2481,85.87,56,63,9.4,BR,1619450513
210,mar del plata,-38.0023,-57.5575,62.6,63,20,4.61,AR,1619450513
211,naze,28.3667,129.4833,63.46,67,94,11.88,JP,1619450513
212,helong,42.5397,128.9972,49.03,54,100,3.6,CN,1619450514
213,ancud,-41.8697,-73.8203,57.99,82,75,11.5,CL,1619450486
214,azanka,58.0401,64.7893,46.15,47,77,7.4,RU,1619450514
215,altay,47.8667,88.1167,37.67,37,6,7.99,CN,1619450514
216,sisimiut,66.9395,-53.6735,41.04,70,97,9.6,GL,1619450515
217,abu kamal,34.4506,40.9171,98.46,8,93,18.63,SY,1619450515
218,mount isa,-20.7333,139.5,78.8,31,75,9.22,AU,1619450516
219,patacamaya,-17.2333,-67.9167,52.14,11,0,6.29,BO,1619450516
220,newport,51.5877,-2.9984,57.99,47,14,3.0,GB,1619450516
221,natal,-5.795,-35.2094,87.8,62,75,12.66,BR,1619450263
222,fairbanks,64.8378,-147.7164,32.0,74,1,4.61,US,1619450517
223,albanel,48.8832,-72.4487,28.4,80,100,18.41,CA,1619450395
224,darhan,49.4867,105.9228,37.17,57,90,7.85,MN,1619450517
225,amuntai,-2.4177,115.2494,75.52,90,98,1.32,ID,1619450517
226,hami,42.8,93.45,55.06,12,18,8.81,CN,1619450518
227,sitka,57.0531,-135.33,42.8,70,1,3.44,US,1619450475
228,carbondale,37.7273,-89.2168,69.01,45,1,14.97,US,1619450376
229,stokmarknes,68.5646,14.9108,39.2,93,90,8.05,NO,1619450518
230,tessalit,20.1986,1.0114,105.73,4,16,3.36,ML,1619450519
231,tiznit,29.5833,-9.5,70.23,44,65,14.79,MA,1619450519
232,kosa,59.9445,54.9977,35.15,93,100,8.25,RU,1619450520
233,sorong,-0.8833,131.25,79.61,82,75,3.67,ID,1619450520
234,guerrero negro,27.9769,-114.0611,60.67,67,98,7.76,MX,1619450520
235,saskylakh,71.9167,114.0833,-3.95,100,77,5.5,RU,1619450521
236,biltine,14.5333,20.9167,103.12,5,8,12.97,TD,1619450521
237,sao joao da barra,-21.6403,-41.0511,84.2,65,40,4.61,BR,1619450521
238,rapid city,44.0805,-103.231,55.99,71,1,3.44,US,1619450450
239,la ronge,55.1001,-105.2842,41.0,36,68,5.75,CA,1619450522
240,megion,61.0296,76.1136,50.0,37,0,8.95,RU,1619450522
241,panguna,-6.3164,155.4848,69.8,96,44,1.99,PG,1619450523
242,lagoa,39.05,-27.9833,60.6,75,99,5.91,PT,1619450523
243,richards bay,-28.783,32.0377,71.44,78,1,5.64,ZA,1619450524
244,walvis bay,-22.9575,14.5053,77.0,50,0,18.41,NA,1619450524
245,skjervoy,70.0311,20.9714,33.8,86,75,16.11,NO,1619450524
246,kutum,14.2,24.6667,92.05,5,61,15.14,SD,1619450525
247,novovoronezh,51.3072,39.2173,55.4,24,0,11.18,RU,1619450525
248,vallenar,-28.5708,-70.7581,69.37,51,2,4.21,CL,1619450525
249,bengkulu,-3.8004,102.2655,77.77,89,42,5.55,ID,1619450526
250,hualmay,-11.0964,-77.6139,69.98,77,13,7.78,PE,1619450526
251,kudahuvadhoo,2.6708,72.8944,83.61,71,87,6.76,MV,1619450526
252,umm lajj,25.0213,37.2685,83.79,53,0,2.39,SA,1619450528
253,mahebourg,-20.4081,57.7,77.0,83,75,13.8,MU,1619450462
254,bibiani,6.4635,-2.3194,95.79,38,64,4.0,GH,1619450528
255,mouila,-1.8685,11.0559,88.41,65,79,2.15,GA,1619450529
256,shitanjing,39.2342,106.3439,43.66,23,1,11.27,CN,1619450529
257,klaksvik,62.2266,-6.589,48.2,81,75,11.5,FO,1619450529
258,biak,-0.9131,122.8766,76.39,81,86,3.67,ID,1619450530
259,luderitz,-26.6481,15.1594,67.41,77,24,11.21,NA,1619450530
260,at-bashi,41.1702,75.8106,49.86,39,2,5.61,KG,1619450530
261,karasjok,69.4719,25.5112,32.0,93,90,11.5,NO,1619450531
262,dhuwaran,22.2333,72.8,96.8,24,20,4.61,IN,1619450531
263,srednekolymsk,67.45,153.6833,2.84,94,29,4.79,RU,1619450531
264,skaelskor,55.2506,11.2935,46.99,53,5,4.0,DK,1619450532
265,dongsheng,39.8161,109.9776,41.86,17,0,19.86,CN,1619450532
266,singkang,2.1006,102.7994,78.8,94,20,2.13,MY,1619450533
267,port hardy,50.6996,-127.4199,44.6,100,75,2.3,CA,1619450400
268,toora-khem,52.4675,96.11,29.23,81,64,3.58,RU,1619450533
269,vilhena,-12.7406,-60.1458,75.2,78,75,10.36,BR,1619450534
270,belaya gora,68.5333,146.4167,5.85,91,40,6.13,RU,1619450534
271,rafaela,-31.2503,-61.4867,70.0,42,0,4.0,AR,1619450534
272,yulara,-25.2406,130.9889,60.8,36,0,8.05,AU,1619450535
273,george town,5.4112,100.3354,86.0,84,40,3.44,MY,1619450509
274,abu dhabi,24.4667,54.3667,93.2,40,0,9.22,AE,1619450262
275,portland,45.5234,-122.6762,48.0,84,63,1.99,US,1619450491
276,hayden,47.766,-116.7866,44.01,81,75,6.91,US,1619450536
277,kirakira,-10.4544,161.9205,79.21,83,100,5.68,SB,1619450536
278,mosquera,4.7059,-74.2302,62.6,63,75,8.05,CO,1619450536
