,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,hobart,-42.8794,147.3294,57.2,58,90,14.97,AU,1619378419
85,maarianhamina,60.0973,19.9348,35.6,80,75,12.66,AX,1619378467
86,chapada dos guimaraes,-15.4606,-55.7497,78.8,73,75,1.14,BR,1619378467
87,georgetown,5.4112,100.3354,81.0,89,20,3.44,MY,1619378208
88,moose factory,51.2585,-80.6094,30.2,51,40,20.71,CA,1619378468
89,killybegs,54.6333,-8.45,62.6,58,0,13.8,IE,1619378468
90,san luis,-33.295,-66.3356,69.76,41,1,4.88,AR,1619378224
91,dingle,10.9995,122.6711,76.14,85,33,2.95,PH,1619378469
92,ocean city,39.2776,-74.5746,61.0,59,90,11.5,US,1619378198
93,haines junction,60.7522,-137.5108,44.6,39,0,4.61,CA,1619378469
94,barrow,71.2906,-156.7887,14.0,92,1,20.71,US,1619378470
95,broken hill,-31.95,141.4333,50.0,71,0,7.63,AU,1619378253
96,seoul,37.5683,126.9778,55.4,62,0,6.91,KR,1619378212
97,coahuayana,18.7333,-103.6833,87.8,33,75,8.1,MX,1619378471
98,yar-sale,66.8333,70.8333,32.83,94,100,11.59,RU,1619378471
99,fort nelson,58.8053,-122.7002,51.8,22,40,11.5,CA,1619378405
100,goma,-1.6792,29.2228,63.57,94,100,0.6,CD,1619378472
101,atuona,-9.8,-139.0333,80.04,71,53,16.04,PF,1619378472
102,kyabram,-36.3167,145.05,48.0,87,0,7.94,AU,1619378473
103,arraial do cabo,-22.9661,-42.0278,80.6,69,0,8.05,BR,1619378473
104,itarema,-2.9248,-39.9167,83.05,71,22,11.92,BR,1619378474
105,chokurdakh,70.6333,147.9167,18.81,94,100,14.16,RU,1619378474
106,kalmunai,7.4167,81.8167,79.12,74,33,5.48,LK,1619378474
107,guanare,9.0418,-69.7421,98.6,44,72,5.75,VE,1619378475
108,la ronge,55.1001,-105.2842,39.2,44,100,12.66,CA,1619378475
109,general roca,-39.0333,-67.5833,69.8,46,0,10.36,AR,1619378476
110,praya,14.9215,-23.5087,73.4,60,20,20.71,CV,1619378280
111,butaritari,3.0707,172.7902,82.09,77,16,12.3,KI,1619378201
112,jalu,29.0331,21.5482,69.57,50,0,17.65,LY,1619378476
113,vaini,-21.2,-175.2,73.4,100,75,5.75,TO,1619378228
114,moerai,-22.4333,-151.3333,76.21,64,19,9.64,PF,1619378477
115,oranjemund,-28.55,16.4333,61.88,90,100,4.5,NA,1619378477
116,nazilli,37.9163,28.3223,58.48,84,89,3.78,TR,1619378478
117,cambridge,43.3601,-80.3127,41.0,70,90,23.02,CA,1619378340
118,cape town,-33.9258,18.4232,63.0,94,20,10.36,ZA,1619378439
119,tuktoyaktuk,69.4541,-133.0374,12.2,79,90,12.66,CA,1619378192
120,manacapuru,-3.2997,-60.6206,87.8,66,40,6.91,BR,1619378479
121,hami,42.8,93.45,41.81,19,92,6.31,CN,1619378480
122,avarua,-21.2078,-159.775,80.6,83,40,11.5,CK,1619378291
